time,product_id,n_trades,price,quantity,side,market
1737069825447,PF_QNTUSD,1,118.57,0.59,2,2
1737069506257,PF_QNTUSD,1,118.93,0.01,2,2
1737069041697,PF_QNTUSD,1,119.03,2.27,2,2
1737068333513,PF_QNTUSD,1,118.97,1.17,2,2
1737064257264,PF_QNTUSD,1,119.95,4.35,2,2
1737062044089,PF_QNTUSD,1,120.72,0.79,2,2
1737062035041,PF_QNTUSD,1,120.72,1.29,2,2
1737062033537,PF_QNTUSD,1,120.72,0.3,2,2
1737061874560,PF_QNTUSD,1,120.71,0.31,2,2
1737061872861,PF_QNTUSD,1,120.71,1.36,2,2
1737061872141,PF_QNTUSD,1,120.71,0.34,2,2
1737061868086,PF_QNTUSD,1,120.71,1.74,2,2
1737061860728,PF_QNTUSD,1,120.71,0.8,2,2
1737061849167,PF_QNTUSD,1,120.71,0.22,2,2
1737061825767,PF_QNTUSD,1,120.71,2.07,1,2
1737061799960,PF_QNTUSD,1,120.65,0.13,2,2
1737061799844,PF_QNTUSD,1,120.65,0.75,2,2
1737061799188,PF_QNTUSD,1,120.65,1.5,2,2
1737061798245,PF_QNTUSD,1,120.65,12.6,2,2
1737061795412,PF_QNTUSD,1,120.65,0.35,2,2
1737061794330,PF_QNTUSD,1,120.65,1.01,2,2
1737061786323,PF_QNTUSD,1,120.65,1.08,2,2
1737061784612,PF_QNTUSD,1,120.65,0.62,2,2
1737061775807,PF_QNTUSD,1,120.65,1.67,2,2
1737061763588,PF_QNTUSD,1,120.65,16.6,2,2
1737061762614,PF_QNTUSD,1,120.65,4.25,2,2
1737061761558,PF_QNTUSD,1,120.65,3.2,2,2
1737061760310,PF_QNTUSD,1,120.65,4.27,2,2
1737061760143,PF_QNTUSD,1,120.65,3.23,2,2
1737061759193,PF_QNTUSD,1,120.65,12.4,2,2
1737061750425,PF_QNTUSD,1,120.65,2.86,2,2
1737061748123,PF_QNTUSD,1,120.65,6.66,2,2
1737061745410,PF_QNTUSD,1,120.65,0.27,2,2
1737061742985,PF_QNTUSD,1,120.65,4.18,2,2
1737061742565,PF_QNTUSD,1,120.65,0.29,2,2
1737061742513,PF_QNTUSD,1,120.65,0.5,2,2
1737061741491,PF_QNTUSD,1,120.65,7.3,2,2
1737061741430,PF_QNTUSD,1,120.65,4.23,2,2
1737061741262,PF_QNTUSD,1,120.65,4.23,2,2
1737061741234,PF_QNTUSD,1,120.65,0.27,2,2
1737061741221,PF_QNTUSD,1,120.65,4.23,2,2
1737061740883,PF_QNTUSD,1,120.65,0.27,2,2
1737061739217,PF_QNTUSD,1,120.65,0.1,2,2
1737061737114,PF_QNTUSD,1,120.65,0.61,2,2
1737061734874,PF_QNTUSD,1,120.65,1.45,2,2
